experiment,params,mean_train_accuracy,std_train_accuracy,mean_validation_accuracy,std_validation_accuracy,generalization_gap,rank_validation_accuracy,mean_fit_time_seconds
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.01, 'selector__k': 30}",0.9971483881321592,0.001185678884906537,0.6729662178505201,0.01754903275913291,0.3241821702816391,70,0.02765002250671387
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.01, 'selector__k': 30}",0.8092499348031055,0.005053561468832786,0.672942030153995,0.025137781143285062,0.13630790464911047,71,0.025978803634643555
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.01, 'selector__k': 50}",0.8203354129471002,0.011890343281253778,0.6717165201967267,0.011465314010164384,0.14861889275037354,72,0.03152594566345215
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.001, 'selector__k': 30}",0.8368171879074806,0.0063774356948264445,0.6716762073691849,0.0297299229032474,0.16514098053829573,73,0.023685264587402343
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.01, 'selector__k': 30}",0.9692631747878593,0.0038411150191373176,0.6704184471498832,0.027521430073211173,0.2988447276379761,74,0.02628016471862793
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.03, 'selector__k': 30}",0.9927119902104355,0.0016173558096402225,0.6691284366685479,0.032735531135089646,0.3235835535418876,75,0.02987227439880371
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 'scale', 'selector__k': 30}",0.9955646051074243,0.0015503132085135053,0.6678706764492462,0.02760622194585113,0.32769392865817804,76,0.03192715644836426
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.001, 'selector__k': 30}",0.7740762101546671,0.012703539342168883,0.6666371039264694,0.013787378354614556,0.10743910622819774,77,0.023408889770507812
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.03, 'selector__k': 30}",0.9990496298822444,0.0007759744919807367,0.6666209787954528,0.026747376065667874,0.33242865108679165,78,0.02858743667602539
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.03, 'selector__k': 30}",0.9990496298822444,0.0007759744919807367,0.6666209787954528,0.026747376065667874,0.33242865108679165,78,0.029418182373046876
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 'scale', 'selector__k': 30}",0.9990496298822444,0.0007759744919807367,0.665339030879626,0.027503626824268563,0.33371059900261846,80,0.030702590942382812
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 'scale', 'selector__k': 30}",0.9990496298822444,0.0007759744919807367,0.665339030879626,0.027503626824268563,0.33371059900261846,80,0.032410192489624026
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.003, 'selector__k': 30}",0.7902365142731047,0.00983402842165383,0.6640651455293074,0.026902431329884634,0.1261713687437973,82,0.022594165802001954
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.01, 'selector__k': 40}",0.7794619751649984,0.011501868501615126,0.6564863339514633,0.023085328562929813,0.1229756412135351,83,0.02821769714355469
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.001, 'selector__k': 40}",0.7598161447571666,0.010483119636930436,0.6564540836894299,0.031770794888441665,0.10336206106773671,84,0.022626924514770507
